n,seed,iteration,elapsed_seconds,best_so_far,active_components
20,2,18,157.8,319.07,111
20,2,19,162.8,319.07,101
20,2,20,180.6,319.07,123
20,2,21,191.5,317.07,113
20,2,22,209.2,317.07,117
20,2,23,226.9,317.07,121
20,2,24,244.6,317.07,118
20,2,25,258.6,317.07,94
20,2,26,264.8,317.07,99
20,2,27,270.4,317.07,100
20,2,28,276.9,317.07,107
20,2,29,284.0,317.07,111
20,2,30,301.8,317.07,117
20,2,31,319.4,317.07,117
20,2,32,337.1,317.07,113
20,2,33,355.0,317.07,118
20,2,34,372.7,317.07,121
20,2,35,390.3,317.07,117
20,2,36,401.4,303.47,98
20,2,37,405.7,303.47,98
20,2,38,410.1,303.47,107
20,2,39,427.8,303.47,117
20,2,40,445.5,303.47,123
20,2,41,463.4,303.47,118
20,2,42,481.0,303.47,114
20,2,43,498.7,303.47,135
20,2,44,509.0,303.47,106
20,2,45,526.6,303.47,117
20,2,46,544.4,303.47,115
20,2,47,548.3,303.47,91
20,2,48,566.0,303.47,113
20,2,49,583.8,303.47,128
20,2,50,601.4,303.47,111
20,2,51,605.1,303.47,90
20,2,52,608.4,303.47,87
20,2,53,611.7,303.47,88
20,2,54,616.9,303.47,103
20,2,55,620.5,303.47,92
20,2,56,632.0,303.47,111
20,2,57,646.1,303.47,108
20,2,58,654.8,303.47,107
20,2,59,658.7,303.47,94
20,2,60,664.6,303.47,104
20,2,61,669.0,303.47,99
20,2,62,673.9,303.47,96
20,2,63,678.6,303.47,98
20,2,64,684.8,303.47,98
20,2,65,703.0,303.47,110
20,2,66,720.1,303.47,107
20,2,67,737.8,303.47,122
20,2,68,755.6,303.47,119
20,2,69,773.2,303.47,114
20,2,70,786.3,303.47,114
20,2,71,796.2,303.47,112
20,2,72,807.9,303.47,120
20,2,73,820.9,303.47,113
20,2,74,838.8,303.47,120
20,2,75,856.5,303.47,118
20,2,76,874.4,303.47,127
20,2,77,882.5,303.47,118
20,2,78,900.3,303.47,114
20,2,79,918.0,303.47,117
20,2,80,935.8,298.75,115
20,2,81,953.6,298.75,121
20,2,82,971.3,298.75,115
20,2,83,984.1,298.75,107
20,2,84,994.2,298.75,118
20,2,85,1011.9,298.75,113
20,2,86,1026.0,298.75,109
20,2,87,1043.6,298.75,112
20,2,88,1061.4,298.75,113
20,2,89,1066.7,298.75,108
20,2,90,1084.4,298.75,106
20,2,91,1091.5,298.75,107
20,2,92,1099.9,298.75,105
20,2,93,1105.5,298.75,107
20,2,94,1123.3,298.75,116
20,2,95,1140.9,298.75,114
20,2,96,1158.6,298.75,119
20,2,97,1175.2,298.75,117
20,2,98,1181.6,298.75,109
20,2,99,1187.0,298.75,109
20,2,100,1192.4,298.75,105
20,2,101,1210.1,298.75,113
20,2,102,1215.7,298.75,100
20,2,103,1226.5,298.75,101
20,2,104,1234.8,298.75,96
20,2,105,1243.3,298.75,115
20,2,106,1260.9,298.75,116
20,2,107,1278.6,298.75,111
20,2,108,1282.9,298.75,97
20,2,109,1288.0,298.75,101
20,2,110,1302.7,298.75,113
20,2,111,1320.3,298.75,119
20,2,112,1326.1,298.75,108
20,2,113,1331.2,298.75,102
20,2,114,1335.4,298.75,101
20,2,115,1340.5,298.75,100
20,2,116,1345.4,298.75,105
20,2,117,1351.0,298.75,99
20,2,118,1368.8,298.75,112
20,2,119,1386.5,298.75,116
20,2,120,1404.2,298.75,120
20,2,121,1422.0,298.75,111
20,2,122,1425.4,298.75,91
20,2,123,1443.1,298.75,115
20,2,124,1460.9,298.75,120
20,2,125,1471.3,298.75,114
20,2,126,1476.9,298.75,88
20,2,127,1494.6,298.75,108
20,2,128,1506.3,298.75,104
20,2,129,1513.4,298.75,114
20,2,130,1531.1,298.75,119
20,2,131,1548.8,298.75,113
20,2,132,1566.6,298.75,111
20,2,133,1584.3,298.75,116
20,2,134,1597.4,298.75,110
20,2,135,1601.5,298.75,94
20,2,136,1605.7,298.75,101
20,2,137,1623.5,298.75,120
20,2,138,1630.0,298.75,109
20,2,139,1647.7,298.75,113
20,2,140,1651.5,298.75,101
20,2,141,1657.0,298.75,115
20,2,142,1663.2,298.75,110
20,2,143,1672.2,298.75,111
20,2,144,1678.9,298.75,100
20,2,145,1696.7,298.75,110
20,2,146,1714.3,298.75,117
20,2,147,1732.0,298.75,130
20,2,148,1738.7,298.75,112
20,2,149,1743.3,298.75,109
20,2,150,1754.7,298.75,108
20,2,151,1761.4,298.75,100
20,2,152,1769.5,298.75,105
20,2,153,1787.3,298.75,103
20,2,154,1800.2,298.75,110
20,3,1,2.8,386.42,35
20,3,2,5.9,337.34,64
20,3,3,9.5,337.34,88
20,3,4,12.8,337.34,88
20,3,5,17.2,337.34,101
20,3,6,21.4,337.34,103
20,3,7,33.4,326.31,113
20,3,8,51.2,326.31,120
20,3,9,58.8,326.31,115
20,3,10,67.2,326.31,112
20,3,11,72.4,326.31,109
20,3,12,90.1,326.31,111
20,3,13,107.8,326.31,118
20,3,14,114.7,326.31,111
20,3,15,123.2,326.31,113
20,3,16,130.5,326.31,114
20,3,17,134.2,326.31,107
20,3,18,139.3,313.76,107
20,3,19,144.4,313.76,109
20,3,20,150.6,313.76,109
20,3,21,160.6,313.76,119
20,3,22,178.6,313.76,117
20,3,23,196.3,313.76,119
20,3,24,213.0,313.76,107
20,3,25,231.0,313.76,114
20,3,26,242.1,313.76,108
20,3,27,259.8,313.76,122
20,3,28,273.3,313.76,121
20,3,29,283.9,313.76,112
20,3,30,292.4,309.1,107
20,3,31,297.2,309.1,109
20,3,32,308.3,309.1,113
20,3,33,320.3,309.1,114
20,3,34,338.0,309.1,114
20,3,35,343.5,309.1,108
20,3,36,347.8,309.1,110
20,3,37,352.3,309.1,110
20,3,38,366.6,309.1,117
20,3,39,379.6,309.1,116
20,3,40,389.3,309.1,113
20,3,41,395.4,309.1,109
20,3,42,400.6,309.1,112
20,3,43,405.3,309.1,112
20,3,44,411.1,309.1,113
20,3,45,421.2,309.1,108
20,3,46,438.9,309.1,116
20,3,47,456.6,309.1,113
20,3,48,461.5,309.1,103
20,3,49,469.5,309.1,108
20,3,50,487.2,309.1,114
20,3,51,497.2,309.1,112
20,3,52,509.2,309.1,113
20,3,53,522.6,309.1,118
20,3,54,528.5,309.1,115
20,3,55,541.9,309.1,112
20,3,56,559.7,309.1,120
20,3,57,577.4,309.1,120
20,3,58,584.8,309.1,99
20,3,59,594.6,309.1,117
20,3,60,600.7,309.1,105
20,3,61,607.4,309.1,114
20,3,62,612.6,309.1,105
20,3,63,618.4,305.25,105
20,3,64,629.4,305.25,112
20,3,65,637.9,305.25,113
20,3,66,655.6,305.25,115
20,3,67,673.3,305.25,117
20,3,68,691.3,305.25,107
20,3,69,702.6,305.25,108
20,3,70,720.3,305.25,107
20,3,71,738.1,305.25,103
20,3,72,743.7,305.25,100
20,3,73,749.1,305.25,108
20,3,74,752.6,300.18,99
20,3,75,756.9,300.18,95
20,3,76,761.2,300.18,99
20,3,77,774.4,300.18,116
20,3,78,791.5,300.18,125
20,3,79,798.3,300.18,122
20,3,80,803.0,299.2,107
20,3,81,818.2,299.2,113
20,3,82,824.3,299.2,103
20,3,83,835.4,299.2,112
20,3,84,847.8,299.2,116
20,3,85,855.2,299.2,107
20,3,86,872.9,299.2,111
20,3,87,879.8,299.2,124
20,3,88,897.6,299.2,133
20,3,89,915.3,299.2,122
20,3,90,925.5,299.2,124
20,3,91,929.9,299.2,91
20,3,92,933.3,299.2,90
20,3,93,936.8,299.2,91
20,3,94,952.6,299.2,110
20,3,95,958.0,299.2,100
20,3,96,963.6,299.2,103
20,3,97,971.4,299.2,111
20,3,98,989.1,299.2,120
20,3,99,1001.3,299.2,117
20,3,100,1009.1,299.2,107
20,3,101,1024.6,299.2,106
20,3,102,1037.2,299.2,107
20,3,103,1055.0,299.2,102
20,3,104,1063.7,299.2,104
20,3,105,1072.5,299.2,103
20,3,106,1077.8,299.2,107
20,3,107,1083.1,299.2,109
20,3,108,1100.8,299.2,110
20,3,109,1105.4,299.2,100
20,3,110,1110.0,299.2,104
20,3,111,1116.8,299.2,110
20,3,112,1128.1,299.2,118
20,3,113,1133.6,299.2,107
20,3,114,1139.2,299.2,109
20,3,115,1145.0,292.97,109
20,3,116,1149.5,292.97,101
20,3,117,1155.0,292.97,106
20,3,118,1160.0,292.97,106
20,3,119,1177.7,292.97,113
20,3,120,1188.0,292.97,108
20,3,121,1202.1,292.97,119
20,3,122,1207.8,292.97,110
20,3,123,1212.2,292.97,100
20,3,124,1215.6,292.97,82
20,3,125,1219.0,292.97,86
20,3,126,1222.7,291.71,99
20,3,127,1232.5,291.71,109
20,3,128,1237.3,291.71,103
20,3,129,1242.3,291.71,106
20,3,130,1246.4,291.71,103
20,3,131,1252.3,291.71,110
20,3,132,1262.1,291.71,115
20,3,133,1279.8,291.71,114
20,3,134,1285.8,291.71,108
20,3,135,1293.6,291.71,109
20,3,136,1298.6,291.71,107
20,3,137,1305.1,291.71,105
20,3,138,1314.2,291.71,115
20,3,139,1319.2,291.71,107
20,3,140,1324.1,291.71,105
20,3,141,1328.6,291.71,106
20,3,142,1335.1,291.71,103
20,3,143,1345.9,291.71,113
20,3,144,1354.2,291.71,113
20,3,145,1361.3,291.71,110
20,3,146,1369.9,291.71,110
20,3,147,1377.9,291.71,112
20,3,148,1383.1,291.71,98
20,3,149,1390.0,291.71,106
20,3,150,1407.7,291.71,111
20,3,151,1412.9,291.71,105
20,3,152,1419.9,291.71,103
20,3,153,1424.0,291.71,101
20,3,154,1428.0,291.71,95
20,3,155,1434.3,291.71,104
20,3,156,1438.8,291.71,104
20,3,157,1444.8,291.71,111
20,3,158,1448.8,291.71,96
20,3,159,1455.2,291.71,115
20,3,160,1462.1,291.71,112
20,3,161,1479.8,291.71,113
20,3,162,1485.3,291.71,107
20,3,163,1503.1,291.71,110
20,3,164,1509.9,291.71,103
20,3,165,1516.7,291.71,108
20,3,166,1529.3,291.71,116
20,3,167,1536.6,291.71,117
20,3,168,1540.9,291.71,100
20,3,169,1545.2,291.71,103
