n,seed,exact_feasible,exact_objective,exact_runtime,exact_timeout,cmsa_feasible,cmsa_objective,cmsa_runtime,improvement_gap_pct
20,1,False,,32.387537778999985,True,True,336.99319637903506,45.06177626599998,
20,2,False,,32.230574192999995,True,True,335.68473939990946,45.12312650000001,
20,3,False,,32.32789948200002,True,True,306.65586853591026,45.11416370699999,
20,4,False,,32.30572049,True,True,323.3735601804186,45.20551983400003,
20,5,False,,32.38437197900009,True,True,381.08041402372174,45.13795726600006,
20,6,False,,32.372387936999985,True,True,344.020352196455,45.24420714500002,
20,7,False,,32.357739788,True,True,373.1017282795386,45.0066865230001,
20,8,False,,32.34227881100003,True,True,308.69382263306187,45.120562533,
20,9,False,,32.48185033100003,True,True,404.94169076434713,45.14107393900008,
20,10,False,,32.20975666000004,True,True,317.132527342573,45.05068584200001,
30,1,False,,43.6883567509999,True,True,597.5126134603963,45.26648040700002,
30,2,False,,44.032551240999965,True,True,540.1176942316256,45.013831192,
30,3,False,,42.8715661629999,True,True,548.2654943598466,45.05485815400016,
30,4,False,,42.29990530200007,True,True,562.3012445054493,45.01346106599999,
30,5,False,,43.23926561899998,True,True,589.0777132386671,45.48027714099999,
30,6,False,,44.185753491000014,True,True,508.6031817343247,45.55104814699985,
30,7,False,,45.60267077100002,True,True,530.3612279225051,45.10651667000002,
30,8,False,,43.505208978000155,True,True,467.1674979747447,45.01323128599984,
30,9,False,,41.72643131799987,True,True,696.9889747197633,45.165825398999914,
30,10,False,,42.66852118299994,True,True,501.0617926294688,45.188120001000016,
40,1,False,,0.0,True,True,2311.799012930334,45.40226037399998,
40,2,False,,0.0,True,True,1840.4480806029146,45.54459345500004,
40,3,False,,0.0,True,True,1973.7671163573807,45.39115880300005,
40,4,False,,0.0,True,True,2248.16808584218,45.495342543000106,
40,5,False,,0.0,True,True,2036.1436550504177,45.46260243400002,
40,6,False,,0.0,True,True,2177.990541342504,45.031418982000105,
40,7,False,,0.0,True,True,2009.7882065267088,45.023906907999844,
40,8,False,,0.0,True,True,1729.0969956844822,45.46703699700038,
40,9,False,,0.0,True,True,2053.7717005848804,45.021669692999694,
40,10,False,,0.0,True,True,1647.5952887066885,45.45519324099996,
50,1,False,,0.0,True,True,2605.765092323978,49.48269960100015,
50,2,False,,0.0,True,True,2557.79305594181,48.57360139500042,
50,3,False,,0.0,True,True,2408.094630096643,48.059670020999874,
50,4,False,,0.0,True,True,2619.387020581444,49.35270841600004,
50,5,False,,0.0,True,True,2501.0241796537975,46.52193399499993,
