n,Avg. Exact Obj (Our),Avg. CMSA Obj (Our),Avg. Improvement (Our),Paper CPLEX Obj,Paper CSMA Obj,Paper Improvement
20,-,346.52,-,300.83,277.18,-7.86%
30,-,580.91,-,619.49,353.42,-42.95%
