n,seed,exact_feasible,exact_objective,exact_runtime,exact_timeout,cmsa_feasible,cmsa_objective,cmsa_runtime,improvement_gap_pct
20,1,False,,32.855188099999964,True,True,338.99319637903506,45.22195134100002,
20,2,False,,32.76000537599998,True,True,335.68473939990946,45.18810887299992,
20,3,False,,32.75796910899999,True,True,306.65586853591026,45.03702089199999,
20,4,False,,32.69899474200008,True,True,331.41150033101377,45.11648745399998,
20,5,False,,33.00301479699999,True,True,381.08041402372174,45.08332255899995,
20,6,False,,32.80286812399993,True,True,358.1129037190156,45.00837219199991,
20,7,False,,32.737843909999924,True,True,373.1017282795386,45.088504535000084,
20,8,False,,32.77432475799992,True,True,318.1178120639108,45.13767551299998,
20,9,False,,32.831692084999986,True,True,404.94169076434713,45.21974259400008,
20,10,False,,32.780425538000145,True,True,317.132527342573,45.008178199999975,
30,1,False,,46.16791111899988,True,True,597.5126134603963,45.09478804199989,
30,2,False,,44.410303285000055,True,True,540.1176942316256,45.12331170100015,
30,3,False,,43.53724743499993,True,True,623.5903937167809,45.13994964699987,
30,4,False,,43.5984828390001,True,True,564.3012445054493,45.28375058000006,
30,5,False,,43.50103108300004,True,True,589.0777132386671,45.11444439699994,
30,6,False,,43.13168628199992,True,True,605.5357522793221,45.12462903000005,
30,7,False,,43.351642543000025,True,True,576.9122537427901,45.19291079599998,
30,8,False,,42.821492300000045,True,True,480.18755299213103,45.16209758500008,
30,9,False,,42.41937925499997,True,True,696.9889747197633,45.10923581899988,
30,10,False,,42.86504277900008,True,True,534.8900648762294,45.09766755599958,
40,1,False,,161.68872595799985,True,True,2311.799012930334,45.40064704600036,
40,2,False,,160.48424072699981,True,True,1840.4480806029146,45.38295737899989,
40,3,False,,158.1928754139999,True,True,1973.7671163573807,45.391419740999936,
